Store ID,Address,City,State,Zip Code,Latitude,Longitude
143,810 Southmore Ave,Pasadena,Texas,77502,29.6905068,-95.2030596
144,3939 Red Bluff Rd,Pasadena,Texas,77503,29.6824762,-95.1514537
147,3202 Sherwood Way,San Angelo,Texas,76901,31.4460551,-100.4792422
149,4646 W Commerce St,San Antonio,Texas,78237,29.4303507,-98.5536925
149,1616 E Oltorf St,Austin,Texas,78741,30.2337527,-97.7394211
150,100 East Edinburg Ave,Elsa,Texas,78543,26.2941068,-97.99275
151,5726 East 41st Street,Tulsa,Oklahoma,74135,36.1039954,-95.9121017
152,421 S Broadway,Edmond,Oklahoma,73034,35.6505085,-97.482292
154,2420 NE Bob Bullock Loop,Laredo,Texas,78043,27.6128434,-99.4703996
154,5050 Antoine Dr,Houston,Texas,77092,29.8386933,-95.4728456
155,4817 Waterview Town Center Dr,Richmond,Texas,77407,29.6604005,-95.7174163
159,601 S Central Expy,Anna,Texas,75409,33.3464451,-96.5846501
160,3500 S New Braunfels,San Antonio,Texas,78223,29.383797,-98.4607695
161,510 Texan Trl,Corpus Christi,Texas,78404,27.7543641,-97.3893294
161,813 US Hwy 90 E,Castroville,Texas,78009,29.3560375,-98.862749
162,3210 E Martin Luther King Jr Blvd,Austin,Texas,78721,30.283093,-97.7029563
163,20151 S Ellsworth St.,Queen Creek,Arizona,85142,33.2613325,-111.6361984
164,815 Lake Bradford Rd,Tallahassee,Florida,32304,30.4328142,-84.3018301
165,714 Melton Street,Magnolia,Texas,77354,30.2112524,-95.7526524
165,2586 N Monroe St,Tallahassee,Florida,32303,30.4760714,-84.2976755
166,3052 Golden Triangle Blvd,Fort Worth,Texas,76244,32.9328132,-97.3134547
166,9402 Leopard St,Corpus Christi,Texas,78410,27.8265822,-97.5483987
168,2005 W Main Street,Atlanta,Texas,75551,33.1061797,-94.1965622
168,815 E Burgess Rd,Pensacola,Florida,32504,30.4937273,-87.2223687
169,5070 N 9th Ave,Pensacola,Florida,32504,30.4724055,-87.2122739
170,12440 N Tatum Blvd,Phoenix,Arizona,85032,33.6006294,-111.9801718
171,1824 Ashville Rd,Leeds,Alabama,35094,33.5623168,-86.522806
173,7023 W Hwy 90,San Antonio,Texas,78227,29.4029303,-98.6298006
174,4515 E US Hwy 83,Rio Grande City,Texas,78582,26.3715441,-98.7986316
175,4302 N Navarro St,Victoria,Texas,77901,28.8346649,-97.0010669
175,140 W Metro Rd,Leander,Texas,78641,30.5871047,-97.8578178
176,5500 Lemmon Ave,Dallas,Texas,75209,32.8287073,-96.8244137
176,257 Lofton Dr,Pineville,Louisiana,71360,31.3651924,-92.4078649
177,17000 N RM 620,Round Rock,Texas,78681,30.4660654,-97.8035627
177,800 Andrews Hwy,Midland,Texas,79701,31.999262,-102.1086553
178,1004 State Hwy 123,San Marcos,Texas,78666,29.8674693,-97.9392183
178,902 Keyser Ave,Natchitoches,Louisiana,71457,31.7531665,-93.0665389
179,2820 W. Washington,Stephenville,Texas,76401,32.2030443,-98.2406534
180,12034 Culebra Rd,San Antonio,Texas,78253,29.5034532,-98.7307164
181,712 Fort Worth Dr,Denton,Texas,76201,33.1976726,-97.1394408
181,2901 Spirit of Texas Dr,Austin,Texas,78719,30.2107605,-97.6675045
182,13391 Eastlake Blvd,El Paso,Texas,79928,31.6875124,-106.2668892
183,1755 N Lee Trevino Dr,El Paso,Texas,79936,31.7635379,-106.3194473
183,306 N Wright Street,Caldwell,Texas,77836,30.5373957,-96.6920626
184,9394 Lyndon B Johnson Fwy,Dallas,Texas,75243,32.9108192,-96.7363686
184,1621 Beltline Rd SW,Decatur,Alabama,35601,34.5667202,-87.01217
185,1778 Blanding Blvd,Middleburg,Florida,32068,30.1060795,-81.8281359
186,6970 Eastchase Loop,Montgomery,Alabama,36117,32.3592528,-86.1694138
187,382 E US Hwy 80,Sunnyvale,Texas,75182,32.7526042,-96.4633163
189,921 E Tucson Marketplace Blvd,Tucson,Arizona,85713,32.1871689,-110.9558583
190,100 East Expressway 83,Pharr,Texas,78577,26.2059506,-98.1812785
191,801 E 9th St,Mission,Texas,78572,26.2140776,-98.3175167
192,1110 W US Highway 77,San Benito,Texas,78586,26.1454125,-97.6355356
192,2501 Gateway Drive,Opelika,Alabama,36801,32.6210849,-85.4034952
193,5321 West Sublett Road,Arlington,Texas,76001,32.6467289,-97.1886695
194,1212 W Henderson St,Cleburne,Texas,76033,32.3420649,-97.4032855
195,1212 S Main St,Weatherford,Texas,76086,32.7450829,-97.7979018
196,1003 S Key Ave,Lampasas,Texas,76550,31.0594011,-98.1799466
196,1718 West Loop N,Houston,Texas,77008,29.8011115,-95.4481373
197,5806 Broadway Blvd.,Garland,Texas,75043,32.8450484,-96.5950769
198,650 Sunland Park Dr,El Paso,Texas,79912,31.8198104,-106.5401649
200,14543 Brook Hollow Blvd,San Antonio,Texas,78232,29.5799085,-98.47618
201,1807 Highway 35 N,Rockport,Texas,78382,28.0424021,-97.0421654
203,9200 Benbrook Blvd,Benbrook,Texas,76126,32.6735347,-97.4699806
204,3575 College St.,Beaumont,Texas,77701,30.0680499,-94.1281487
205,125 Sycamore School Rd.,Fort Worth,Texas,76134,32.6349113,-97.3235988
207,338 Junction Highway,Kerrville,Texas,78028,30.0549753,-99.1523177
208,1400 W Moore Ave,Terrell,Texas,75160,32.7384098,-96.2977099
209,1910 N Coit Rd,Richardson,Texas,75080,32.976316,-96.7678229
215,2955 N Hayden Rd,Scottsdale,Arizona,85251,33.4816989,-111.9085096
217,450 W Indian School Rd,Phoenix,Arizona,85013,33.4950886,-112.0799368
218,737 E McDowell Rd,Phoenix,Arizona,85006,33.4654736,-112.0635425
219,2901 E Bell Rd,Phoenix,Arizona,85032,33.6402612,-112.0196318
220,8922 W Bell Rd,Peoria,Arizona,85382,33.6385785,-112.2511389
220,4280 W Bell Rd,Glendale,Arizona,85308,33.6397815,-112.1511951
221,1346 South Rural Road,Tempe,Arizona,85281,33.4131194,-111.9267084
222,2910 W Thunderbird Rd,Phoenix,Arizona,85053,33.6111753,-112.1209174
230,6504 E 22nd St,Tucson,Arizona,85710,32.2060197,-110.8534526
232,3925 S 6th Ave,Tucson,Arizona,85714,32.1762206,-110.9680341
236,405 E Florence Blvd,Casa Grande,Arizona,85122,32.8792409,-111.7483076
245,2808 Carlisle Blvd NE,Albuquerque,New Mexico,87110,35.1131196,-106.6038496
247,200 Menaul Blvd NW,Albuquerque,New Mexico,87107,35.1102604,-106.6445811
262,6402 Telephone Rd,Houston,Texas,77061,29.671451,-95.2895678
263,2820 Chimney Rock Rd,Houston,Texas,77056,29.7361582,-95.476839
264,6914 Harrisburg Blvd,Houston,Texas,77011,29.7357943,-95.303757
265,6405 San Felipe St,Houston,Texas,77057,29.7498127,-95.4978141
266,3639 Westheimer Rd,Houston,Texas,77027,29.7412538,-95.4368558
267,3624 Old Spanish Trl,Houston,Texas,77021,29.7016378,-95.3627765
271,3712 S Shepherd Dr,Houston,Texas,77098,29.7328843,-95.4109929
278,11116 Fuqua St,Houston,Texas,77089,29.6125551,-95.2203161
279,10843 FM 1960 West,Houston,Texas,77070,29.9339475,-95.5824257
282,502 N IH 69,Robstown,Texas,78380,27.7936566,-97.651797
283,2419 Boca Chica Blvd,Brownsville,Texas,78521,25.9223408,-97.4842491
285,4502 Fredericksburg Rd,Balcones Heights,Texas,78201,29.489949,-98.5507076
286,2402 S Padre Island Dr,Corpus Christi,Texas,78415,27.7360844,-97.4260339
288,5001 Saratoga Blvd,Corpus Christi,Texas,78413,27.690468,-97.3949875
289,2503 E Hubbard St,Mineral Wells,Texas,76067,32.8095296,-98.0926048
293,1709 W 7th Ave,Corsicana,Texas,75110,32.0831743,-96.4799235
294,1702 19th St,Lubbock,Texas,79401,33.578152,-101.8557383
295,1905 N Big Spring St,Midland,Texas,79705,32.0164699,-102.0796612
296,2931 N Belt Line Rd,Irving,Texas,75062,32.8462017,-96.992774
297,3206 N Midkiff Rd,Midland,Texas,79705,32.0189635,-102.1242493
298,8300 N IH 35,Windcrest,Texas,78239,29.5133423,-98.3960228
299,4444 E Causeway Blvd,Corpus Christi,Texas,78402,27.8312101,-97.3850439
300,220 S San Patricio St,Sinton,Texas,78387,28.0347107,-97.5170302
302,4960 E 42nd St,Odessa,Texas,79762,31.8929177,-102.3346208
304,1432 S Peoria Ave,Tulsa,Oklahoma,74120,36.1412675,-95.9759256
305,3204 Town East Blvd.,Mesquite,Texas,75150,32.8026043,-96.6442046
306,4286 E. Lucas St.,Beaumont,Texas,77708,30.1193951,-94.1434794
307,2424 S Georgia St,Amarillo,Texas,79109,35.1877597,-101.8666533
308,1110 S. Gregg Street,Big Spring,Texas,79720,32.243218,-101.4748455
309,18004 Highway 59 N,Humble,Texas,77396,29.9801773,-95.2762598
310,630 U.S. 79,Henderson,Texas,75652,32.1587914,-94.7836822
311,729 Hwy 361,Port Aransas,Texas,78373,27.8272381,-97.0672599
313,121 North Shoreline,Corpus Christi,Texas,78401,27.7924468,-97.3929818
314,8101 Dyer St,El Paso,Texas,79904,31.8536357,-106.4393219
315,3202 Wurzbach Rd,San Antonio,Texas,78238,29.4665286,-98.6221987
316,7016 Bandera Rd,Leon Valley,Texas,78238,29.4992891,-98.624593
317,101 US-281,Falfurrias,Texas,78355,27.2267507,-98.1417504
318,143 S Interstate 35,New Braunfels,Texas,78130,29.6900375,-98.1109239
319,605 N Alamo St,Refugio,Texas,78377,28.3137038,-97.2739052
320,8214 Marbach Rd,San Antonio,Texas,78227,29.4174352,-98.6514001
321,801 E William Cannon Dr,Austin,Texas,78745,30.1902276,-97.7722747
323,1207 State Hwy 35 N,Port Lavaca,Texas,77979,28.6348276,-96.6278642
324,2627 FM 1960 Rd,Houston,Texas,77073,30.0228057,-95.3880346
325,4831 Fairmont Pkwy,Pasadena,Texas,77505,29.6501029,-95.1696418
327,11003 NW Military Hwy,San Antonio,Texas,78231,29.5554192,-98.5347036
328,1301 Hwy 100,Port Isabel,Texas,78578,26.0710528,-97.221763
329,8756 Grissom Rd,San Antonio,Texas,78251,29.4792563,-98.6573728
330,2201 N Mesa St,El Paso,Texas,79902,31.7733829,-106.5004784
331,4612 College Ave,Snyder,Texas,79549,32.6956222,-100.91869
333,1007 East Hidalgo St.,Raymondville,Texas,78580,26.4824097,-97.7704703
334,4021 IH 69 Access Rd,Corpus Christi,Texas,78410,27.8566752,-97.6307223
335,2701 E Saunders St,Laredo,Texas,78041,27.530138,-99.4686784
336,6817 S Padre Island Dr,Corpus Christi,Texas,78412,27.6959491,-97.348147
337,1120 W Pipeline Road,Hurst,Texas,76053,32.8239773,-97.1985175
338,2214 N Collins St,Arlington,Texas,76011,32.7699057,-97.0976479
339,1404 N State Highway 161,Grand Prairie,Texas,75050,32.7579233,-97.0281334
342,627 S. Jackson St.,Jacksonville,Texas,75766,31.9592183,-95.268802
343,6400 Wesley St,Greenville,Texas,75402,33.1059105,-96.1099217
344,4241 S 1st St,Abilene,Texas,79605,32.4513833,-99.778478
345,3501 Alta Mesa Blvd.,Fort Worth,Texas,76133,32.6493556,-97.3683155
346,601 Barton Springs Rd,Austin,Texas,78704,30.2580521,-97.7506867
347,2801 W Anderson Ln,Austin,Texas,78757,30.358676,-97.737075
349,602 S Padre Island Dr,Corpus Christi,Texas,78416,27.7561852,-97.4589811
350,1100 Texas Blvd N,Weslaco,Texas,78596,26.1716766,-97.9905806
351,203 E Pleasant Run Rd,Desoto,Texas,75115,32.6050809,-96.938029
352,5075 Rigsby Ave,San Antonio,Texas,78222,29.3987578,-98.3916586
353,6120 Lake Worth Blvd,Lake Worth,Texas,76135,32.8080374,-97.416273
357,100 West Loop 340,Waco,Texas,76712,31.5121867,-97.1871599
358,547 SW Wilshire Blvd,Burleson,Texas,76028,32.536415,-97.3337866
360,905 N Esplanade St,Cuero,Texas,77954,29.0976641,-97.2876901
361,105 North Interstate Hwy 45,Ennis,Texas,75119,32.3111241,-96.5804617
362,13900 O'Connor Road,San Antonio,Texas,78233,29.5677699,-98.3841209
363,4635 Rittiman Rd,San Antonio,Texas,78218,29.484475,-98.4005942
365,7210 FM 1960 Rd W,Houston,Texas,77069,29.9670645,-95.5370828
366,2130 E Paisano Dr,El Paso,Texas,79905,31.7660273,-106.4614988
367,2727 West Ave,San Antonio,Texas,78201,29.4855835,-98.5263405
368,5501 Rufe Snow Dr,North Richland Hills,Texas,76180,32.8469948,-97.239055
369,140 S Dowlen Rd,Beaumont,Texas,77707,30.0735916,-94.1725343
371,3401 S Coulter St,Amarillo,Texas,79109,35.176088,-101.9197863
372,131 Americas Avenue South,El Paso,Texas,79907,31.6803273,-106.3146028
373,909 N Mechanic St,El Campo,Texas,77437,29.2037299,-96.2759978
374,8055 North Loop,El Paso,Texas,79915,31.7290877,-106.3479657
375,100 Nasa Road 1,Webster,Texas,77598,29.5374548,-95.1189619
376,14301 S Padre Island Dr,Corpus Christi,Texas,78418,27.623295,-97.2223902
377,1900 Decker Dr,Baytown,Texas,77520,29.7410797,-94.981161
381,4720 Interstate 35 S,San Antonio,Texas,78211,29.3788296,-98.5125266
382,303 Roland Rd,San Antonio,Texas,78210,29.4025888,-98.4427354
384,3404 McNiel Ave,Wichita Falls,Texas,76308,33.8773679,-98.5480257
386,2515 W Airport Fwy,Irving,Texas,75062,32.8379755,-96.9797812
387,6469 Brentwood Stair Rd,Fort Worth,Texas,76112,32.756271,-97.2179093
388,1419 S 10th Street,McAllen,Texas,78501,26.1904922,-98.2315198
389,12663 Veterans Memorial Drive,Houston,Texas,77014,29.9706681,-95.4857689
390,2943 N Galloway Ave,Mesquite,Texas,75150,32.8066689,-96.6117757
391,604 N Highway 77,Waxahachie,Texas,75165,32.410257,-96.841632
392,307 S Mason Rd,Katy,Texas,77450,29.7824055,-95.7512739
395,6004 S Sheridan Rd,Tulsa,Oklahoma,74145,36.0779152,-95.9048221
396,4545 Violet Rd,Corpus Christi,Texas,78410,27.848558,-97.5842113
397,3360 S Watson Rd,Arlington,Texas,76014,32.6923992,-97.063831
398,12806 Interstate 35 Frontage Road,Live Oak,Texas,78233,29.554935,-98.3469239
399,1118 Roosevelt Avenue,San Antonio,Texas,78210,29.392777,-98.4857898
400,1506 W Buckingham Blvd,Garland,Texas,75042,32.930269,-96.6499065
401,1012 East Milam Avenue,Mexia,Texas,76667,31.6845337,-96.4699509
404,7430 Louetta Rd,Spring,Texas,77379,30.0189217,-95.5284914
406,318 N Highway 123 Byp,Seguin,Texas,78155,29.5709159,-97.9414313
407,513 N Alamo Rd,Alamo,Texas,78516,26.1895299,-98.1225275
408,231 South Austin,Denison,Texas,75020,33.7536463,-96.5372704
409,2111 E Main St,Uvalde,Texas,78801,29.2190226,-99.7661913
410,1726 Military Parkway,Mesquite,Texas,75149,32.7674273,-96.6241343
412,5779 Fairbanks Dr,El Paso,Texas,79924,31.9007258,-106.4074162
413,7400 Gateway Blvd E,El Paso,Texas,79915,31.7647511,-106.3665465
414,5402 E Speedway Blvd,Tucson,Arizona,85712,32.2358513,-110.8772949
415,1921 Hwy 90,Liberty,Texas,77575,30.0569595,-94.7967123
416,1504 W Church St,Livingston,Texas,77351,30.7116002,-94.9508167
417,500 N Bell Blvd,Cedar Park,Texas,78613,30.5149955,-97.825705
418,2159 HWY 36 South,Sealy,Texas,77474,29.7618331,-96.1509794
419,1120 N Velasco St,Angleton,Texas,77515,29.1770313,-95.4322307
421,1947 W Broadway Rd,Mesa,Arizona,85202,33.4071346,-111.8734869
424,2020 Avenue F,Bay City,Texas,77414,28.9836938,-95.9704326
425,1228 State Highway 16 S,Graham,Texas,76450,33.0931395,-98.5895947
426,10675 E 31st St,Tulsa,Oklahoma,74146,36.1193841,-95.8568619
427,734 N Pierce St,Amarillo,Texas,79107,35.2207917,-101.8301242
428,112 East Houston Hwy,Edna,Texas,77957,28.9884745,-96.6487583
429,2617 North Street,Nacogdoches,Texas,75965,31.6145376,-94.6497252
431,13728 East Freeway,Houston,Texas,77015,29.7697394,-95.1793595
432,3530 Highway 6 S,Houston,Texas,77082,29.7195275,-95.6449119
433,2406 S Main St,Pearland,Texas,77581,29.5628557,-95.2864763
434,13030 Murphy Road,Stafford,Texas,77477,29.6332842,-95.5653992
435,1040 Central Fwy,Wichita Falls,Texas,76306,33.9341468,-98.5181928
436,5270 Doniphan Dr,El Paso,Texas,79932,31.8505584,-106.5828767
437,907 East US Highway 377,Granbury,Texas,76048,32.4340252,-97.7772635
439,316 Sawdust Rd,Spring,Texas,77380,30.1270117,-95.448154
440,2201 NW Cache Rd,Lawton,Oklahoma,73505,34.6237244,-98.4238627
445,321 Hwy 181,Taft,Texas,78390,27.9787884,-97.3977848
447,3500 Dyer St,El Paso,Texas,79930,31.8081048,-106.4444291
448,5869 S Cooper St,Arlington,Texas,76017,32.6512788,-97.1344023
450,2305 S Bypass 35,Alvin,Texas,77511,29.4010235,-95.2445378
454,1101 N Valley Mills Dr,Waco,Texas,76710,31.5311146,-97.1868936
455,1709 St. Joseph St,Gonzales,Texas,78629,29.5141265,-97.4586237
456,4143 US Hwy 83 E,Rio Grande City,Texas,78582,26.3715471,-98.7986083
459,8927 Clearwood Dr,Houston,Texas,77075,29.6398447,-95.244227
460,401 E Northwest Hwy,Grapevine,Texas,76051,32.9413644,-97.0746649
465,190 East University Avenue,Las Cruces,New Mexico,88005,32.2819079,-106.7687112
467,10319 US 59 Hwy,Wharton,Texas,77488,29.3267207,-96.1198314
472,5815 Highway 6 North,Houston,Texas,77084,29.8607177,-95.6457745
473,6702 NW Cache Rd,Lawton,Oklahoma,73505,34.6230633,-98.4750937
474,8850 N Stemmons Fwy,Dallas,Texas,75247,32.8352616,-96.8742383
475,4110 N State Line Ave,Texarkana,Arkansas,71854,33.4639539,-94.0427026
476,2830 W Washington St,Stephenville,Texas,76401,32.2028133,-98.2412143
477,3509 Padre Blvd,South Padre Island,Texas,78597,26.1103909,-97.1694718
478,540 N. Main St.,Vidor,Texas,77662,30.1300914,-94.0147369
480,2548 K Ave,Plano,Texas,75074,33.0325482,-96.6986726
481,11135 N Interstate Hwy 35,Austin,Texas,78753,30.3754557,-97.676161
483,17290 I-20,Canton,Texas,75103,32.5803711,-95.8569916
484,806 U.S. 59 North Bypass,Cleveland,Texas,77327,30.3368127,-95.0983879
485,2474 State Highway 361,Ingleside,Texas,78362,27.8804569,-97.2067073
486,106 N Friendswood Dr,Friendswood,Texas,77546,29.5340804,-95.2071974
488,802 N Loop 336 W,Conroe,Texas,77301,30.3355064,-95.4683406
489,4010 Jewella Ave,Shreveport,Louisiana,71109,32.4740779,-93.7975921
490,528 University Blvd,Galveston,Texas,77550,29.3091789,-94.7735881
491,920 S Red River Expy,Burkburnett,Texas,76354,34.080998,-98.5584105
492,5455 Blue Mound Rd,Saginaw,Texas,76106,32.8420819,-97.3436172
493,399 Mary Esther Cut Off NW,Fort Walton Beach,Florida,32548,30.4279974,-86.6397123
495,1005 N. Hwy. 175,Seagoville,Texas,75159,32.6500216,-96.5471702
496,1070 I-30,Rockwall,Texas,75087,32.9088641,-96.4514048
497,2900 N Market St,Shreveport,Louisiana,71107,32.5570774,-93.7822902
498,1700 N Wayside Dr,Houston,Texas,77020,29.7786392,-95.2909151
500,2021 International Blvd,Brownsville,Texas,78521,25.9060642,-97.4832978
501,17234 Northwest Fwy,Jersey Village,Texas,77040,29.8897207,-95.5823436
503,9955 Main St,Houston,Texas,77025,29.6767715,-95.4275555
504,613 N Ed Carey Dr,Harlingen,Texas,78550,26.1656591,-97.6788689
505,214 E Nine Mile Rd,Pensacola,Florida,32534,30.5334571,-87.264903
506,2544 Bert Kouns Industrial Loop,Shreveport,Louisiana,71118,32.4024928,-93.8007098
507,1650 Bert Kouns Road,Shreveport,Louisiana,71105,32.4314736,-93.7138225
508,901 E Seminary Dr,Fort Worth,Texas,76115,32.6846839,-97.3188956
509,410 S Loop 12,Irving,Texas,75060,32.8105017,-96.9208032
510,109 NE 28th St,Fort Worth,Texas,76164,32.7956298,-97.348335
511,3701 West Fwy,Fort Worth,Texas,76107,32.7319838,-97.3721551
512,2470 N Main St,Paris,Texas,75460,33.6854899,-95.5539758
513,1201 W Main St,La Porte,Texas,77571,29.6648553,-95.0312889
516,112 Benton Spur Road,Bossier City,Louisiana,71111,32.5183658,-93.7149922
518,7629 W Bellfort St,Houston,Texas,77071,29.6556318,-95.5105175
519,1830 N Bryant Blvd,San Angelo,Texas,76903,31.4767807,-100.4528056
520,2725 Southwest Pkwy,Wichita Falls,Texas,76308,33.8574103,-98.5347465
521,2727 New Boston Rd,Texarkana,Texas,75501,33.4354341,-94.0779903
522,2108 E Belt Line Rd,Carrollton,Texas,75006,32.9532076,-96.8833143
523,893 East Highway 80,Abilene,Texas,79601,32.4479872,-99.7083546
524,3141 S Danville Dr,Abilene,Texas,79605,32.4132137,-99.773598
525,1717 50th St,Lubbock,Texas,79412,33.5481844,-101.8568741
526,3160 SE Loop 820,Fort Worth,Texas,76140,32.6607263,-97.2829596
527,4801 E Expressway 83,Mercedes,Texas,78570,26.1599555,-97.890657
528,1501 South IH 35,Round Rock,Texas,78664,30.495185,-97.6776538
530,6225 Hulen Bend Road,Fort Worth,Texas,76132,32.6606938,-97.4023325
532,123 Highway 332 West,Lake Jackson,Texas,77566,29.0474564,-95.4607237
533,3636 N Main St,Houston,Texas,77009,29.7913369,-95.3732016
534,411 E Commerce St,Brownwood,Texas,76801,31.7306344,-98.9738138
535,1840 S 19th Ave,Phoenix,Arizona,85009,33.4297562,-112.1003365
536,2300 McArthur Dr.,Orange,Texas,77630,30.0948301,-93.7568012
537,1460 North Dysart Road,Avondale,Arizona,85323,33.4495034,-112.3420894
538,950 N Loop 340,Bellmead,Texas,76705,31.604242,-97.1034269
541,101 W Southwest Pkwy,Lewisville,Texas,75067,33.019483,-96.993469
542,9517 Bissonnet St,Houston,Texas,77036,29.6753608,-95.5438873
